station,departure_plan_datetime,category,long,lat,arrival_delay_m,departure_delay_m,departure_plan_hour,date,hour,day_of_week,state,city,temperature,rained
Albrechtshof,2024-06-27 13:00:00,5.0,13.128916999999998,52.549396,0.0,0.2,13.0,2024-06-27,13,3,Berlin,Berlin,29.35,False
Albrechtshof,2024-06-27 14:00:00,5.0,13.128916999999998,52.549396,0.0,0.4,14.0,2024-06-27,14,3,Berlin,Berlin,30.35,False
Albrechtshof,2024-06-27 15:00:00,5.0,13.128916999999998,52.549396,1.0,0.6,15.0,2024-06-27,15,3,Berlin,Berlin,30.35,False
Alexanderplatz,2024-06-23 13:00:00,3.0,13.410961000000002,52.521481,0.0,0.1818181818181818,13.0,2024-06-23,13,6,Berlin,Berlin,22.0,False
Alexanderplatz,2024-06-23 14:00:00,3.0,13.410961,52.52148100000001,1.0,1.2,14.0,2024-06-23,14,6,Berlin,Berlin,21.8,False
Alexanderplatz,2024-06-23 15:00:00,3.0,13.410961,52.521481,0.0,0.3333333333333333,15.0,2024-06-23,15,6,Berlin,Berlin,22.15,False
Alexanderplatz,2024-06-23 16:00:00,3.0,13.410961,52.52148100000001,0.0,0.6,16.0,2024-06-23,16,6,Berlin,Berlin,21.9,False
Alexanderplatz,2024-06-23 17:00:00,3.0,13.410961,52.521481,1.0,0.9166666666666666,17.0,2024-06-23,17,6,Berlin,Berlin,21.35,False
Alexanderplatz,2024-06-23 18:00:00,3.0,13.410961,52.521481,0.0,0.5833333333333334,18.0,2024-06-23,18,6,Berlin,Berlin,20.75,False
Alexanderplatz,2024-06-23 19:00:00,3.0,13.410961000000002,52.521481,1.0,0.7272727272727273,19.0,2024-06-23,19,6,Berlin,Berlin,19.85,False
Alexanderplatz,2024-06-23 20:00:00,3.0,13.410961,52.521481,0.0,0.2142857142857142,20.0,2024-06-23,20,6,Berlin,Berlin,18.65,False
Alexanderplatz,2024-06-23 21:00:00,3.0,13.410961,52.521481,1.0,0.8333333333333334,21.0,2024-06-23,21,6,Berlin,Berlin,18.15,False
Alexanderplatz,2024-06-23 22:00:00,3.0,13.410961,52.52148100000001,0.0,0.4,22.0,2024-06-23,22,6,Berlin,Berlin,17.35,False
Alexanderplatz,2024-06-23 23:00:00,3.0,13.410961,52.52148100000001,0.0,0.3,23.0,2024-06-23,23,6,Berlin,Berlin,15.75,False
Alexanderplatz,2024-06-24 00:00:00,3.0,13.410961,52.52148100000001,1.0,1.0,0.0,2024-06-24,0,0,Berlin,Berlin,14.75,False
Alexanderplatz,2024-06-24 01:00:00,3.0,13.410961,52.521481,0.0,0.0,1.0,2024-06-24,1,0,Berlin,Berlin,14.45,False
